DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996709248499"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.984052466512"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.00936603049"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.994772061813"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.998646435185"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996175319724"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.997243177273"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99667312239"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996745374608"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.993147657472"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.00027083953"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996425901427"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996992595571"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996539444369"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996879052629"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996006804129"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.997411692868"
0,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996569690486"
0,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.996848806511"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.991335493814"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.00208300318"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.995856148465"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.997562348532"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00679204323"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.995106475083"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01847761138"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0060312231"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00755286337"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00655325992"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00703082655"
0,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00676203739"
0,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00682204908"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00025376154"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01333032493"
0,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00656823529"
0,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00701585117"
0,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00664851349"
0,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00693557298"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00558100389"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00800308257"
0,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00654311923"
0,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00704096724"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999617255415"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01396683105"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988799667881"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.980543917875"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.997055417887"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988581958263"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.989017377499"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988032964235"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.989566371527"
0,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.98878016653"
0,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988819169232"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.983820692085"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.993778643677"
0,TnP,down_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988724494272"
0,TnP,up_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.98887484149"
0,TnP,down_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988663061244"
0,TnP,up_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988936274518"
0,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.987590127852"
0,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.990009207909"
0,TnP,down_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988682130607"
0,TnP,up_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988917205155"
0,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.983459611251"
0,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.99413972451"
0,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.988351744685"
0,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.989247591076"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988160201817"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.982897906094"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.99342249754"
0,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988031323599"
0,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988289080035"
0,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.987749764968"
0,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988570638667"
0,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988148477373"
0,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988171926262"
0,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.985913944406"
0,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.990406459229"
0,TnP,down_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98804584835"
0,TnP,up_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988274555285"
0,TnP,down_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988153667445"
0,TnP,up_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988166736189"
0,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.987338390209"
0,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988982013425"
0,TnP,down_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98809923481"
0,TnP,up_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988221168824"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.985732431448"
0,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.990587972187"
0,TnP,down_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.987910761083"
0,TnP,up_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.988409642552"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996611656468"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.990849489652"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00237382328"
0,TnP,down_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996591743321"
0,TnP,up_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996631569616"
0,TnP,down_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996337060926"
0,TnP,up_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996886252011"
0,TnP,down_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996607581242"
0,TnP,up_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996615731695"
0,TnP,down_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.993103875347"
0,TnP,up_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00011943759"
0,TnP,down_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996518422193"
0,TnP,up_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996704890744"
0,TnP,down_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996475822958"
0,TnP,up_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996747489979"
0,TnP,down_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996158467394"
0,TnP,up_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.997064845543"
0,TnP,down_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.99652755544"
0,TnP,up_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996695757496"
0,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.993087414025"
0,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00013589891"
0,TnP,down_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996515939819"
0,TnP,up_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.996707373118"
0,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.997595647779"
0,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.990433213458"
0,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.0047580821"
0,TnP,down_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.997510883143"
0,TnP,up_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.997680412415"
0,TnP,down_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.997583601308"
0,TnP,up_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.99760769425"
0,TnP,down_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.99758967229"
