DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97933198171"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966540883534"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.992123079885"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.977544573848"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.981119389571"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979257255232"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979406708187"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979288114158"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979375849262"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97546401815"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.983199945269"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979068533888"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979595429532"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979102924226"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979561039193"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.978249712061"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.980414251359"
0,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979218444306"
0,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.979445519113"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.973449139081"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.985214824339"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.978879247639"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97978471578"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.993321321296"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.981446574935"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00519606766"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.992423618036"
