DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13943156389"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10304409007"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.17581903771"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13615609803"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14270702974"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1347079066"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14415522118"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13921996095"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13964316683"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13364903718"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1452140906"
0,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10304409007"
0,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.17581903771"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13669965215"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14216347563"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13809998297"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14076314481"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10369114623"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.17517198154"
0,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1361014569"
0,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14276167087"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1376021466"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14126098118"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13812571892"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14073740886"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13941939333"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13944373444"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09872951932"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.05634715649"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.14111188214"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09703667261"
