DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97639501094818115" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99162399768829346" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0042999982833862" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98646998405456543" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9911770224571228" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.9932289719581604" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "1.0025899410247803" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.96783602237701416" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0003600120544434" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.98767799139022827" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.92831826210021973" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96766024827957153" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95938223600387573" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.96088838577270508" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.95385712385177612" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.91291940212249756" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89646768569946289" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85644608736038208" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.91196918487548828" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.94224536418914795" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.99769997596740723" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.99311298131942749" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "1.0275520086288452" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98833101987838745" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.99357205629348755" 
