CSVv2;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,0.970118224621
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.03386385182
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.906171637416
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.993987273282
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.961922883987
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.97135591507
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.968547642231
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.995749533176
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.935713171959
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.970118463039
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.970118463039
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.970118463039
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.969375491142
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.970153868198
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.970118463039
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.00510524672
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.935131202524
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.00705009233
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.933186356916
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.979130049435
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.961106399807
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.969099998474
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.01352307825
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.923698821773
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.979013196776
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.95725864098
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.971447408199
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.966234922409
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.978751659393
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.957363009453
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.969099998474
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.969099998474
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.969099998474
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.970279574394
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.969063937664
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.969099998474
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.980843110099
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.957356886849
0,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.01026411829
0,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,0.927935878659
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.972766268367
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.965433728581
0,lt,central,0,0,2.4,50.0,70.0,0,1,0.992131352425
0,lt,up,0,0,2.4,50.0,70.0,0,1,1.01329975961
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.944966364966
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.994837641716
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.94951922495
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.998221933842
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.984990715981
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.00552368164
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.980590343475
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.992131412029
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.992131412029
0,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.992131412029
0,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.991667747498
0,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.992003560066
0,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.992131412029
0,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.996068576301
0,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.988194128548
0,lt,up_ltothers,0,0,2.4,50.0,70.0,0,1,1.00327868117
0,lt,down_ltothers,0,0,2.4,50.0,70.0,0,1,0.98098402368
0,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.0011258132
0,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.983136891646
0,lt,central,0,0,2.4,70.0,100.0,0,1,1.00299870968
0,lt,up,0,0,2.4,70.0,100.0,0,1,1.01938195608
0,lt,down,0,0,2.4,70.0,100.0,0,1,0.985713558742
0,lt,up_jes,0,0,2.4,70.0,100.0,0,1,1.00596630573
0,lt,down_jes,0,0,2.4,70.0,100.0,0,1,1.00013939467
0,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.01122260094
0,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.992647767067
0,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.01238799095
0,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.994089841843
0,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.00299870968
0,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.00299870968
0,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,1.00299870968
0,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,1.00247514248
0,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,1.00293910503
0,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,1.00299870968
0,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.00542451939
0,lt,down_cb,0,0,2.4,70.0,100.0,0,1,1.00057289996
0,lt,up_ltothers,0,0,2.4,70.0,100.0,0,1,1.00721963531
0,lt,down_ltothers,0,0,2.4,70.0,100.0,0,1,0.998777784052
0,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.01058118563
0,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.995416233724
0,lt,central,0,0,2.4,100.0,140.0,0,1,1.01415944099
0,lt,up,0,0,2.4,100.0,140.0,0,1,1.03456312579
0,lt,down,0,0,2.4,100.0,140.0,0,1,0.991783200174
0,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.01507425308
0,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.01078726895
0,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.0263864994
0,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.998386800289
0,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.02151429653
0,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.0091843605
0,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.01415944099
0,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.01415944099
0,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.01415944099
0,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.01218616962
0,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.01400268078
0,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.01415944099
0,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.01673832457
0,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.01158055741
0,lt,up_ltothers,0,0,2.4,100.0,140.0,0,1,1.02018654114
0,lt,down_ltothers,0,0,2.4,100.0,140.0,0,1,1.00813234085
0,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.02046933461
0,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,1.00784954738
0,lt,central,0,0,2.4,140.0,200.0,0,1,1.01748895645
0,lt,up,0,0,2.4,140.0,200.0,0,1,1.03815216387
0,lt,down,0,0,2.4,140.0,200.0,0,1,0.992584757574
0,lt,up_jes,0,0,2.4,140.0,200.0,0,1,1.01811535108
0,lt,down_jes,0,0,2.4,140.0,200.0,0,1,1.0145911973
0,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.03305411339
0,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.996678233147
0,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.02260637283
0,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.01430296898
0,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.01748895645
0,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.01748895645
0,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,1.01748895645
0,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,1.01425623894
0,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,1.0173432827
0,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,1.01748895645
0,lt,up_cb,0,0,2.4,140.0,200.0,0,1,1.01953470986
0,lt,down_cb,0,0,2.4,140.0,200.0,0,1,1.01544320304
