CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20,30,0,1,0.986244
0,lt,up_gluonsplitting,0,0,2.4,20,30,0,1,0.984874
0,lt,up_bfragmentation,0,0,2.4,20,30,0,1,0.990666
0,lt,up_dmux,0,0,2.4,20,30,0,1,0.986244
0,lt,up_cfragmentation,0,0,2.4,20,30,0,1,0.986244
0,lt,up_ksl,0,0,2.4,20,30,0,1,0.986348
0,lt,up_jes,0,0,2.4,20,30,0,1,0.985679
0,lt,down_gluonsplitting,0,0,2.4,20,30,0,1,0.987515
0,lt,down_bfragmentation,0,0,2.4,20,30,0,1,0.979562
0,lt,down_dmux,0,0,2.4,20,30,0,1,0.988783
0,lt,down_cfragmentation,0,0,2.4,20,30,0,1,0.986244
0,lt,down_ksl,0,0,2.4,20,30,0,1,0.986244
0,lt,down_jes,0,0,2.4,20,30,0,1,0.985301
0,lt,up_statistic,0,0,2.4,20,30,0,1,0.990321
0,lt,down_statistic,0,0,2.4,20,30,0,1,0.982167
0,lt,up_cb,0,0,2.4,20,30,0,1,1.02095
0,lt,down_cb,0,0,2.4,20,30,0,1,0.951536
0,lt,up_ltothers,0,0,2.4,20,30,0,1,1.07794
0,lt,down_ltothers,0,0,2.4,20,30,0,1,0.894548
0,lt,up,0,0,2.4,20,30,0,1,1.08451
0,lt,down,0,0,2.4,20,30,0,1,0.887871
0,lt,central,0,0,2.4,30,50,0,1,0.973159
0,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.971753
0,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.973877
0,lt,up_dmux,0,0,2.4,30,50,0,1,0.973159
0,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.973159
0,lt,up_ksl,0,0,2.4,30,50,0,1,0.973187
0,lt,up_jes,0,0,2.4,30,50,0,1,0.976028
0,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.974604
0,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.969595
0,lt,down_dmux,0,0,2.4,30,50,0,1,0.975367
0,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.973159
0,lt,down_ksl,0,0,2.4,30,50,0,1,0.973159
0,lt,down_jes,0,0,2.4,30,50,0,1,0.970784
0,lt,up_statistic,0,0,2.4,30,50,0,1,0.975317
0,lt,down_statistic,0,0,2.4,30,50,0,1,0.971001
0,lt,up_cb,0,0,2.4,30,50,0,1,0.987191
0,lt,down_cb,0,0,2.4,30,50,0,1,0.959127
0,lt,up_ltothers,0,0,2.4,30,50,0,1,1.04087
0,lt,down_ltothers,0,0,2.4,30,50,0,1,0.905451
0,lt,up,0,0,2.4,30,50,0,1,1.04245
0,lt,down,0,0,2.4,30,50,0,1,0.903832
0,lt,central,0,0,2.4,50,70,0,1,0.977856
0,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.976233
0,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.977906
0,lt,up_dmux,0,0,2.4,50,70,0,1,0.977856
0,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.977856
0,lt,up_ksl,0,0,2.4,50,70,0,1,0.977819
0,lt,up_jes,0,0,2.4,50,70,0,1,0.978739
0,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.979734
0,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.977446
0,lt,down_dmux,0,0,2.4,50,70,0,1,0.980434
0,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.977856
0,lt,down_ksl,0,0,2.4,50,70,0,1,0.977856
0,lt,down_jes,0,0,2.4,50,70,0,1,0.976249
0,lt,up_statistic,0,0,2.4,50,70,0,1,0.980504
0,lt,down_statistic,0,0,2.4,50,70,0,1,0.975208
0,lt,up_cb,0,0,2.4,50,70,0,1,0.983658
0,lt,down_cb,0,0,2.4,50,70,0,1,0.972054
0,lt,up_ltothers,0,0,2.4,50,70,0,1,1.00347
0,lt,down_ltothers,0,0,2.4,50,70,0,1,0.952237
0,lt,up,0,0,2.4,50,70,0,1,1.00446
0,lt,down,0,0,2.4,50,70,0,1,0.951353
0,lt,central,0,0,2.4,70,100,0,1,0.993277
0,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.992079
0,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.995306
0,lt,up_dmux,0,0,2.4,70,100,0,1,0.993277
0,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.993277
0,lt,up_ksl,0,0,2.4,70,100,0,1,0.993246
0,lt,up_jes,0,0,2.4,70,100,0,1,0.994373
0,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.994763
0,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.990856
0,lt,down_dmux,0,0,2.4,70,100,0,1,0.995686
0,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.993277
0,lt,down_ksl,0,0,2.4,70,100,0,1,0.993277
0,lt,down_jes,0,0,2.4,70,100,0,1,0.99174
0,lt,up_statistic,0,0,2.4,70,100,0,1,0.995649
0,lt,down_statistic,0,0,2.4,70,100,0,1,0.990905
0,lt,up_cb,0,0,2.4,70,100,0,1,0.997
0,lt,down_cb,0,0,2.4,70,100,0,1,0.989554
0,lt,up_ltothers,0,0,2.4,70,100,0,1,1.0098
0,lt,down_ltothers,0,0,2.4,70,100,0,1,0.976755
0,lt,up,0,0,2.4,70,100,0,1,1.01076
0,lt,down,0,0,2.4,70,100,0,1,0.975895
0,lt,central,0,0,2.4,100,140,0,1,1.00077
0,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,1.0008
