kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.979518592358"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.977694332600"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.988283693790"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.985508024693"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.974605739117"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.966486811638"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.981102526188"
0, kin, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.967520846336" 
0, kin, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.971341591904" 
0, kin, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.983458596737" 
0, kin, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.98050552837" 
0, kin, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.968546025341" 
0, kin, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.954899560519" 
0, kin, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.943089289806" 
0, kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.975658338284" 
0, kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.974118351704" 
0, kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.98500485369" 
0, kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.981705634389" 
0, kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.969368621241" 
0, kin, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 1, "0.956502724439" 
0, kin, down_statistic, 0, -2.4, 2.4, 300, 600, 0, 1, "0.948043502867"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.977559555173"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.977616117053"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.988224396768"
0, kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.985212372286"
0, kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.974537516715"
0, kin, down_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.966428822429"
