DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.09436+(-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.09436+(-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.085186950862407684)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.034094996750354767)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.034312352538108826)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.031168233603239059)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.032310239970684052)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.036360867321491241)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.060605552047491074)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.10067352652549744)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.15710575878620148)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.034074779599905014)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.09436+((-(0.00468617*(log(x+19)*(log(x+18)*(3-(0.365078*log(x+18)))))))-0.013637999072670937)" 
