DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.034911718219518661" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.034706663340330124" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.034098118543624878" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.027623360976576805" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.02840440534055233" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.032613407820463181" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.094103068113327026" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.17211243510246277" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.061981935054063797" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.01396468747407198" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.013882665894925594" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.013639247976243496" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.011049344204366207" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.011361761949956417" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.013045363128185272" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.037641227245330811" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18)))))))+0.068844974040985107" 
0, comb, up_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+5.00007419324" 
0, comb, up_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+5.00011360792" 
0, comb, up_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0313649982237" 
0, comb, up_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0848635249218" 
0, comb, up_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.0711226929" 
0, comb, up_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+8.66031443202" 
0, comb, up_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.07258579524" 
0, comb, up_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.07182900022" 
0, comb, up_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0333346004608" 
0, comb, up_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+10.0000059349" 
0, comb, up_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.07108066486" 
0, comb, up_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.0710789409" 
0, comb, up_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0339454103257" 
0, comb, up_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.07107659286" 
0, comb, up_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+9.27362751947" 
0, comb, up_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.07131071111" 
0, comb, up_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.81035994466" 
0, comb, up_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+7.07108038262" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.00459459237754" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0051563330926" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.00893707200885" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0406641066074" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.00553813064471" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0125888288021" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0504099205136" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.137321814895" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.0103746075183" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.914846+(0.00315637*(log(x+19)*(log(x+18)*(3-(0.425069*log(x+18))))))+0.00183783692773" 
