DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,1.07575488091
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.16854423247
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.998502034547
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.0979768287
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.06084755343
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.07754123211
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.07383048534
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.08835935593
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.05835664272
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.07574927807
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.09607744217
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.07574927807
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.07934653759
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.07547819614
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.07574927807
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.07597905148
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.07553071034
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.17084537964
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.980664382175
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.08646531016
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.06504445165
0,lt,central,0,0,2.4,30.0,50.0,0,1,1.01045024395
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.04194461822
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.992672082282
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.01440405846
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.00037761514
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01476502419
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00604200363
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.01695692539
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00605165958
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.0104496479
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01476573944
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.0104496479
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.01075124741
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.01039767265
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.0104496479
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.01058356184
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.01031692606
0,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.03073184538
0,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,0.990168642519
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.01385196732
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.00704852058
0,lt,central,0,0,2.4,50.0,70.0,0,1,1.01211285591
0,lt,up,0,0,2.4,50.0,70.0,0,1,1.0499685328
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.979554288066
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.02156803967
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,1.00445890427
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.02132678032
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.00228667259
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.02075088024
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.00614392757
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01211297512
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.0173510313
0,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.01211297512
0,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.01008450985
0,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.01207184792
0,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.01211297512
0,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.01216867225
0,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.01205703957
0,lt,up_ltothers,0,0,2.4,50.0,70.0,0,1,1.03843075962
0,lt,down_ltothers,0,0,2.4,50.0,70.0,0,1,0.985794952201
0,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.01781212729
0,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.00641358453
0,lt,central,0,0,2.4,70.0,100.0,0,1,1.00412631035
0,lt,up,0,0,2.4,70.0,100.0,0,1,1.06538117428
0,lt,down,0,0,2.4,70.0,100.0,0,1,0.948621055529
0,lt,up_jes,0,0,2.4,70.0,100.0,0,1,1.01427694327
0,lt,down_jes,0,0,2.4,70.0,100.0,0,1,1.00141886245
0,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.01689207554
0,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.990035951138
0,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.01708209515
0,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.992841243744
0,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.0041270256
0,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.00062978268
0,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,1.0041270256
0,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,1.00151598454
0,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,1.0041333437
0,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,1.0041270256
0,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.00413376666
0,lt,down_cb,0,0,2.4,70.0,100.0,0,1,1.00411885404
0,lt,up_ltothers,0,0,2.4,70.0,100.0,0,1,1.04945741553
0,lt,down_ltothers,0,0,2.4,70.0,100.0,0,1,0.958795205162
0,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.01443287258
0,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.993819748116
0,lt,central,0,0,2.4,100.0,140.0,0,1,1.0555472374
0,lt,up,0,0,2.4,100.0,140.0,0,1,1.11053301075
0,lt,down,0,0,2.4,100.0,140.0,0,1,1.00461352817
0,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.05573761463
0,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.04923884746
0,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.07810711861
0,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.02814090252
0,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.04648888111
0,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.07053649426
0,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.05554592609
0,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.05582726002
0,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.05554592609
0,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.05198943615
0,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.05572617054
0,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.05554592609
0,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.05558771444
0,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.05550676035
0,lt,up_ltothers,0,0,2.4,100.0,140.0,0,1,1.08057284315
0,lt,down_ltothers,0,0,2.4,100.0,140.0,0,1,1.03052163165
0,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.0849733083
0,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,1.02612116649
0,lt,central,0,0,2.4,140.0,200.0,0,1,0.906395375729
0,lt,up,0,0,2.4,140.0,200.0,0,1,0.977888775227
0,lt,down,0,0,2.4,140.0,200.0,0,1,0.835602346357
0,lt,up_jes,0,0,2.4,140.0,200.0,0,1,0.92036114956
0,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.906395375729
0,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.930771410465
0,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.876545250416
0,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.911342978477
0,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.913485467434
0,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.906395018101
0,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.904671192169
0,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,0.906395018101
0,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.902769386768
0,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,0.906274318695
0,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,0.906395018101
0,lt,up_cb,0,0,2.4,140.0,200.0,0,1,0.906399873767
0,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.90639087769
0,lt,up_ltothers,0,0,2.4,140.0,200.0,0,1,0.962167406333
0,lt,down_ltothers,0,0,2.4,140.0,200.0,0,1,0.850623345124
0,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,0.938568413233
0,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.874222338224
0,lt,central,0,0,2.4,200.0,300.0,0,1,0.958453774452
0,lt,up,0,0,2.4,200.0,300.0,0,1,1.0425947954
0,lt,down,0,0,2.4,200.0,300.0,0,1,0.876132818863
0,lt,up_jes,0,0,2.4,200.0,300.0,0,1,0.961025281337
0,lt,down_jes,0,0,2.4,200.0,300.0,0,1,0.95439684391
0,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.972553253174
0,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.94055980444
0,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.979917168617
0,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.950688242912
0,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.958452522755
0,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.958172380924
0,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,0.958452522755
0,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,0.956597089767
0,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,0.958130419254
0,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,0.958452522755
0,lt,up_cb,0,0,2.4,200.0,300.0,0,1,0.958454151965
0,lt,down_cb,0,0,2.4,200.0,300.0,0,1,0.958453396939
0,lt,up_ltothers,0,0,2.4,200.0,300.0,0,1,1.04744302399
0,lt,down_ltothers,0,0,2.4,200.0,300.0,0,1,0.86946452491
0,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,0.97673332545
0,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,0.940174223454
0,lt,central,0,0,2.4,300.0,670.0,0,1,0.971304655075
0,lt,up,0,0,2.4,300.0,670.0,0,1,1.04244917685
0,lt,down,0,0,2.4,300.0,670.0,0,1,0.902185025627
0,lt,up_jes,0,0,2.4,300.0,670.0,0,1,0.979904296349
0,lt,down_jes,0,0,2.4,300.0,670.0,0,1,0.968133026535
0,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.983172297478
0,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.954002797604
0,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,0.988477170467
0,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,0.967508673668
0,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,0.971305072308
0,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,0.969029188156
0,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,0.971305072308
0,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,0.971027374268
0,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,0.971020519733
0,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,0.971305072308
0,lt,up_cb,0,0,2.4,300.0,670.0,0,1,0.971312184328
0,lt,down_cb,0,0,2.4,300.0,670.0,0,1,0.971297125822
0,lt,up_ltothers,0,0,2.4,300.0,670.0,0,1,0.990250468196
0,lt,down_ltothers,0,0,2.4,300.0,670.0,0,1,0.952358841955
0,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,1.01592587623
0,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,0.926683433917
0,lt,central,0,0,2.4,670.0,1000.0,0,1,1.04189550877
0,lt,up,0,0,2.4,670.0,1000.0,0,1,1.12121066928
0,lt,down,0,0,2.4,670.0,1000.0,0,1,0.952198531571
0,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,1.04625134438
0,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,1.02872509932
0,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.06013453007
0,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.01097488403
0,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.03963315487
0,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.05739223957
0,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,1.04189503193
0,lt,down_cfragmentation,0,0,2.4,670.0,1000.0,0,1,1.04912447929
0,lt,up_dmux,0,0,2.4,670.0,1000.0,0,1,1.04189503193
0,lt,down_dmux,0,0,2.4,670.0,1000.0,0,1,1.03609764576
0,lt,up_ksl,0,0,2.4,670.0,1000.0,0,1,1.04201674461
0,lt,down_ksl,0,0,2.4,670.0,1000.0,0,1,1.04189503193
0,lt,up_cb,0,0,2.4,670.0,1000.0,0,1,1.0419013466
0,lt,down_cb,0,0,2.4,670.0,1000.0,0,1,1.04188967093
0,lt,up_ltothers,0,0,2.4,670.0,1000.0,0,1,1.05907604243
0,lt,down_ltothers,0,0,2.4,670.0,1000.0,0,1,1.0247149751
0,lt,up_statistic,0,0,2.4,670.0,1000.0,0,1,1.11465498224
0,lt,down_statistic,0,0,2.4,670.0,1000.0,0,1,0.969136035291
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.03111457825
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.12327954414
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.962977133129
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.04400183745
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.01968665363
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03461575508
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.02738344669
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.04358899593
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.01322174072
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03110873699
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.05996084213
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.03110873699
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.03685200214
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.03098261356
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.03110873699
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.03175643463
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.03047272186
1,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.12078194606
1,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.941447210439
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.04204890975
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.02018024674
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.01098132133
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.05334405807
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.984348373486
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.01484072208
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.999345081459
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01744937897
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00426197052
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.01914143562
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00600147247
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01098120213
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.01686573029
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.01098120213
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.0113055706
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.01090395451
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.01098120213
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.01131849778
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.01064414489
1,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.02143565913
1,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,1.00052698354
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.01418063072
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.00778201194
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.997973203659
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.04919300676
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.954214331867
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.01208638403
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.992541790009
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.01020383835
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.984856367111
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.0060595274
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.992755949497
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.997972071171
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.00396490097
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.997972071171
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.995801568031
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.99788749218
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.997972071171
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.998118293069
