DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22225444838"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14994903984"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.29455985693"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21732296972"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22718592705"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21769377224"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22681512453"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22173524706"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22277364971"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21533083262"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22917806415"
0,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.14994903984"
0,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.29455985693"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.2166714243"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22783747247"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22015108258"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22435781419"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.15079282965"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.29371606712"
0,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21650417907"
0,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.2280047177"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21772067595"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22678822082"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22175466863"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22275422814"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21971172184"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22479717493"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.17879298321"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10298260388"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.25460336255"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1756431242"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.18194284223"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.17495819146"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.18262777497"
0,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.17853517388"
0,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.17905079255"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.17206371635"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.18552225007"
